"colSR","ng-binding","pbi src","st-ply href","st-ply-name","st-ply-tm-name","ng-binding 2","ng-binding 3","ng-binding 4","ng-binding 5","np-ico src"
"SR","","","","","","","","","",""
"248.78","1","https://scores.iplt20.com/ipl/playerimages/Travis%20Head.png?v=1","https://www.iplt20.com/teams/sunrisers-hyderabad/squad-details/1020","Travis Head","SRH","39","RCB","M Chinnaswamy Stadium","15 April 2024",""
"243.90","2","https://scores.iplt20.com/ipl/playerimages/Will%20Jacks.png?v=1","https://www.iplt20.com/teams/royal-challengers-bengaluru/squad-details/5629","Will Jacks","RCB","41","GT","Narendra Modi Stadium","28 April 2024","https://scores.iplt20.com/ipl/teamlogos/RCB.png?v=1"
"225.00","3","https://scores.iplt20.com/ipl/playerimages/Jonny%20Bairstow.png?v=1","https://www.iplt20.com/teams/punjab-kings/squad-details/506","Jonny Bairstow","PBKS","45","KKR","Eden Gardens","26 April 2024","https://scores.iplt20.com/ipl/teamlogos/PBKS.png?v=1"
"194.64","4","https://scores.iplt20.com/ipl/playerimages/Sunil%20Narine.png?v=1","https://www.iplt20.com/teams/kolkata-knight-riders/squad-details/203","Sunil Narine","KKR","49","RR","Eden Gardens","16 April 2024","https://scores.iplt20.com/ipl/teamlogos/KKR.png?v=1"
"189.09","5","https://scores.iplt20.com/ipl/playerimages/Shubman%20Gill.png?v=1","https://www.iplt20.com/teams/gujarat-titans/squad-details/3761","Shubman Gill","GT","50","CSK","Narendra Modi Stadium","10 May 2024","https://scores.iplt20.com/ipl/teamlogos/GT.png?v=1"
"201.96","6","https://scores.iplt20.com/ipl/playerimages/Sai%20Sudharsan.png?v=1","https://www.iplt20.com/teams/gujarat-titans/squad-details/20592","Sai Sudharsan","GT","50","CSK","Narendra Modi Stadium","10 May 2024","https://scores.iplt20.com/ipl/teamlogos/GT.png?v=1"
"200.00","7","https://scores.iplt20.com/ipl/playerimages/Suryakumar%20Yadav.png?v=1","https://www.iplt20.com/teams/mumbai-indians/squad-details/108","Suryakumar Yadav","MI","51","SRH","Wankhede Stadium","06 May 2024","https://scores.iplt20.com/ipl/teamlogos/MI.png?v=1"
"178.33","8","https://scores.iplt20.com/ipl/playerimages/Jos%20Buttler.png?v=1","https://www.iplt20.com/teams/rajasthan-royals/squad-details/509","Jos Buttler","RR","55","KKR","Eden Gardens","16 April 2024","https://scores.iplt20.com/ipl/teamlogos/RR.png?v=1"
"180.00","9","https://scores.iplt20.com/ipl/playerimages/Ruturaj%20Gaikwad.png?v=1","https://www.iplt20.com/teams/chennai-super-kings/squad-details/5443","Ruturaj Gaikwad","CSK","56","LSG","MA Chidambaram Stadium","23 April 2024","https://scores.iplt20.com/ipl/teamlogos/CSK.png?v=1"
"196.82","10","https://scores.iplt20.com/ipl/playerimages/Marcus%20Stoinis.png?v=1","https://www.iplt20.com/teams/lucknow-super-giants/squad-details/964","Marcus Stoinis","LSG","56","CSK","MA Chidambaram Stadium","23 April 2024","https://scores.iplt20.com/ipl/teamlogos/LSG.png?v=1"
"172.41","11","https://scores.iplt20.com/ipl/playerimages/Jos%20Buttler.png?v=1","https://www.iplt20.com/teams/rajasthan-royals/squad-details/509","Jos Buttler","RR","58","RCB","Sawai Mansingh Stadium","06 April 2024","https://scores.iplt20.com/ipl/teamlogos/RR.png?v=1"
"173.33","12","https://scores.iplt20.com/ipl/playerimages/Yashasvi%20Jaiswal.png?v=1","https://www.iplt20.com/teams/rajasthan-royals/squad-details/13538","Yashasvi Jaiswal","RR","59","MI","Sawai Mansingh Stadium","22 April 2024","https://scores.iplt20.com/ipl/teamlogos/RR.png?v=1"
"166.66","13","https://scores.iplt20.com/ipl/playerimages/Rohit%20Sharma.png?v=1","https://www.iplt20.com/teams/mumbai-indians/squad-details/107","Rohit Sharma","MI","61","CSK","Wankhede Stadium","14 April 2024","https://scores.iplt20.com/ipl/teamlogos/MI.png?v=1"
"156.94","14","https://scores.iplt20.com/ipl/playerimages/Virat%20Kohli.png?v=1","https://www.iplt20.com/teams/royal-challengers-bengaluru/squad-details/164","Virat Kohli","RCB","67","RR","Sawai Mansingh Stadium","06 April 2024","https://scores.iplt20.com/ipl/teamlogos/RCB.png?v=1"
