"ng-binding","pbi src","st-ply href","st-ply-name","st-ply-tm-name","ng-binding 2","ng-binding 3","ng-binding 4","ng-binding 5","ng-binding 6","ng-binding 7","ng-binding 8","ng-binding 9","ng-binding 10","ng-binding 11","ng-binding 12","ng-binding 13","np-ico src"
"","","","","","","","","","","","","","","","","",""
"1","https://scores.iplt20.com/ipl/playerimages/Jos%20Buttler.png?v=1","https://www.iplt20.com/teams/rajasthan-royals/squad-details/509","Jos Buttler","RR","2","11","11","2","359","107*","39.89","255","140.78","0","36","12",""
"2","https://scores.iplt20.com/ipl/playerimages/Will%20Jacks.png?v=1","https://www.iplt20.com/teams/royal-challengers-bengaluru/squad-details/5629","Will Jacks","RCB","1","8","8","1","230","100*","32.86","131","175.57","1","16","18","https://scores.iplt20.com/ipl/teamlogos/RCB.png?v=1"
"3","https://scores.iplt20.com/ipl/playerimages/Suryakumar%20Yadav.png?v=1","https://www.iplt20.com/teams/mumbai-indians/squad-details/108","Suryakumar Yadav","MI","1","11","11","1","345","102*","34.50","206","167.47","3","36","18","https://scores.iplt20.com/ipl/teamlogos/MI.png?v=1"
"4","https://scores.iplt20.com/ipl/playerimages/Jonny%20Bairstow.png?v=1","https://www.iplt20.com/teams/punjab-kings/squad-details/506","Jonny Bairstow","PBKS","1","11","11","1","298","108*","29.80","195","152.82","0","33","14","https://scores.iplt20.com/ipl/teamlogos/PBKS.png?v=1"
"5","https://scores.iplt20.com/ipl/playerimages/Sai%20Sudharsan.png?v=1","https://www.iplt20.com/teams/gujarat-titans/squad-details/20592","Sai Sudharsan","GT","1","12","12","1","527","103","47.91","373","141.28","2","48","16","https://scores.iplt20.com/ipl/teamlogos/GT.png?v=1"
"6","https://scores.iplt20.com/ipl/playerimages/Shubman%20Gill.png?v=1","https://www.iplt20.com/teams/gujarat-titans/squad-details/3761","Shubman Gill","GT","1","12","12","1","426","104","38.73","289","147.40","2","37","15","https://scores.iplt20.com/ipl/teamlogos/GT.png?v=1"
"7","https://scores.iplt20.com/ipl/playerimages/Ruturaj%20Gaikwad.png?v=1","https://www.iplt20.com/teams/chennai-super-kings/squad-details/5443","Ruturaj Gaikwad","CSK","1","14","14","3","583","108*","53.00","413","141.16","4","58","18","https://scores.iplt20.com/ipl/teamlogos/CSK.png?v=1"
"8","https://scores.iplt20.com/ipl/playerimages/Sunil%20Narine.png?v=1","https://www.iplt20.com/teams/kolkata-knight-riders/squad-details/203","Sunil Narine","KKR","1","15","14","0","488","109","34.86","270","180.74","3","50","33","https://scores.iplt20.com/ipl/teamlogos/KKR.png?v=1"
"9","https://scores.iplt20.com/ipl/playerimages/Rohit%20Sharma.png?v=1","https://www.iplt20.com/teams/mumbai-indians/squad-details/107","Rohit Sharma","MI","1","14","14","1","417","105*","32.08","278","150.00","1","45","23","https://scores.iplt20.com/ipl/teamlogos/MI.png?v=1"
"10","https://scores.iplt20.com/ipl/playerimages/Marcus%20Stoinis.png?v=1","https://www.iplt20.com/teams/lucknow-super-giants/squad-details/964","Marcus Stoinis","LSG","1","14","14","2","388","124*","32.33","263","147.52","2","39","16","https://scores.iplt20.com/ipl/teamlogos/LSG.png?v=1"
"11","https://scores.iplt20.com/ipl/playerimages/Virat%20Kohli.png?v=1","https://www.iplt20.com/teams/royal-challengers-bengaluru/squad-details/164","Virat Kohli","RCB","1","15","15","3","741","113*","61.75","479","154.69","5","62","38","https://scores.iplt20.com/ipl/teamlogos/RCB.png?v=1"
"12","https://scores.iplt20.com/ipl/playerimages/Travis%20Head.png?v=1","https://www.iplt20.com/teams/sunrisers-hyderabad/squad-details/1020","Travis Head","SRH","1","15","15","1","567","102","40.50","296","191.55","4","64","32","https://scores.iplt20.com/ipl/teamlogos/SRH.png?v=1"
"13","https://scores.iplt20.com/ipl/playerimages/Yashasvi%20Jaiswal.png?v=1","https://www.iplt20.com/teams/rajasthan-royals/squad-details/13538","Yashasvi Jaiswal","RR","1","16","15","1","435","104*","31.07","279","155.91","1","54","16","https://scores.iplt20.com/ipl/teamlogos/RR.png?v=1"
